"recid","delta","age","hsged","yearearn","white","children","jtpa","treatment","single","male","days"
300474,1,40,1,4252,1,0,1,1,1,1,288
300476,0,34,1,0,1,1,0,1,0,0,1027
300478,1,39,1,10600,1,1,0,1,0,0,163
300484,1,26,0,12000,0,0,1,1,1,1,73
300486,1,17,0,600,0,0,0,0,1,1,433
300488,1,32,0,300,1,1,1,1,0,0,736
300490,0,20,1,3088,0,1,0,0,1,0,975
300496,1,31,1,2000,0,0,0,0,0,1,217
300499,1,23,0,3826,0,1,0,1,1,0,42
300502,1,22,1,1100,0,0,1,0,1,1,280
300503,1,34,0,17000,1,1,1,1,0,1,60
300505,1,18,0,45,1,0,1,1,1,0,8
300508,0,19,0,0,0,1,0,0,1,0,1118
300509,1,34,0,0,1,0,0,1,0,1,439
300515,1,17,1,0,0,0,0,0,1,0,144
300516,1,26,0,10000,1,1,1,1,0,1,155
300520,1,21,1,5590,0,0,1,1,1,1,29
300522,1,19,0,0,0,1,1,1,0,0,223
300523,1,29,0,0,1,1,0,1,0,1,175
300524,1,17,0,0,0,0,1,1,1,0,205
300527,1,44,0,16000,1,1,0,0,0,0,116
300531,1,26,1,0,0,0,1,1,1,1,43
300534,1,41,1,0,0,1,1,1,0,0,2
300535,1,28,1,0,1,1,0,0,0,0,418
300537,1,20,1,214,0,1,1,1,1,1,9
300542,0,50,0,0,1,1,1,1,0,0,601
300543,0,30,1,0,0,1,0,0,1,0,585
300544,1,19,1,4279,0,0,1,1,1,0,69
300550,1,21,1,2764,1,1,1,1,0,0,80
300556,1,20,0,0,0,1,0,0,1,0,577
300558,1,29,0,1000,0,1,0,1,0,0,196
300559,1,21,0,2000,1,0,0,0,1,0,346
300563,1,20,0,6792,1,1,0,0,0,1,151
300570,1,23,0,12000,1,0,1,1,0,1,36
300579,1,31,1,300,0,1,1,0,0,0,92
300581,1,39,1,2411,1,0,0,1,0,1,9
300582,1,21,1,800,1,0,1,1,1,1,15
300584,1,18,0,2500,1,0,1,1,0,0,544
300585,1,27,1,3300,0,1,0,0,1,0,216
300586,1,28,0,600,0,0,0,1,1,0,92
300590,1,35,0,6711,1,1,0,1,0,1,39
300596,1,38,1,400,0,0,1,1,0,1,56
300597,1,19,0,0,0,1,1,0,0,0,20
300599,0,29,0,0,0,1,0,1,0,0,858
300600,1,28,1,160,0,1,0,1,0,0,45
300603,1,30,1,400,1,0,0,0,1,0,409
300605,1,25,0,260,0,1,1,1,0,0,5
